




Analysis Type:	PANTHER Overrepresentation Test (Released 20200728)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4081749 Released 2020-10-09
Analyzed List:	human_orthologs_for_go_enrichment.txt (Homo sapiens)	There are duplicate IDs in the file. The unique set of IDs will be used.
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20851)	human_orthologs_for_go_enrichment.txt (3154)	human_orthologs_for_go_enrichment.txt (expected)	human_orthologs_for_go_enrichment.txt (over/under)	human_orthologs_for_go_enrichment.txt (fold Enrichment)	human_orthologs_for_go_enrichment.txt (raw P-value)	human_orthologs_for_go_enrichment.txt (FDR)
water-soluble vitamin metabolic process (GO:0006767)	83	31	12.55	+	2.47	6.51E-05	1.32E-03
mitochondrial transport (GO:0006839)	233	87	35.24	+	2.47	1.65E-11	1.03E-09
glycerophospholipid biosynthetic process (GO:0046474)	220	82	33.28	+	2.46	8.09E-11	4.77E-09
purine nucleoside triphosphate biosynthetic process (GO:0009145)	51	19	7.71	+	2.46	1.95E-03	2.55E-02
autophagy of mitochondrion (GO:0000422)	43	16	6.50	+	2.46	3.41E-03	4.08E-02
mitochondrion disassembly (GO:0061726)	43	16	6.50	+	2.46	3.41E-03	4.08E-02
regulation of mitotic sister chromatid separation (GO:0010965)	62	23	9.38	+	2.45	5.53E-04	8.73E-03
long-chain fatty acid metabolic process (GO:0001676)	116	43	17.55	+	2.45	2.63E-06	7.43E-05
chromatin silencing (GO:0006342)	54	20	8.17	+	2.45	1.44E-03	1.97E-02
steroid biosynthetic process (GO:0006694)	127	47	19.21	+	2.45	1.26E-06	3.80E-05
nucleoside monophosphate metabolic process (GO:0009123)	73	27	11.04	+	2.45	2.60E-04	4.47E-03
lipid biosynthetic process (GO:0008610)	603	223	91.21	+	2.44	3.93E-27	7.17E-25
substantia nigra development (GO:0021762)	46	17	6.96	+	2.44	3.99E-03	4.63E-02
regulation of mRNA metabolic process (GO:1903311)	352	130	53.24	+	2.44	3.43E-16	3.30E-14
purine ribonucleoside triphosphate metabolic process (GO:0009205)	65	24	9.83	+	2.44	4.26E-04	6.92E-03
regulation of chromosome segregation (GO:0051983)	84	31	12.71	+	2.44	7.26E-05	1.44E-03
regulation of pH (GO:0006885)	103	38	15.58	+	2.44	1.31E-05	3.20E-04
regulation of cellular pH (GO:0030641)	95	35	14.37	+	2.44	2.27E-05	5.15E-04
diterpenoid metabolic process (GO:0016101)	114	42	17.24	+	2.44	3.87E-06	1.06E-04
sulfur compound metabolic process (GO:0006790)	375	138	56.72	+	2.43	5.14E-17	5.16E-15
positive regulation of DNA biosynthetic process (GO:2000573)	68	25	10.29	+	2.43	3.32E-04	5.57E-03
regulation of sister chromatid segregation (GO:0033045)	68	25	10.29	+	2.43	3.32E-04	5.56E-03
pyrimidine nucleotide metabolic process (GO:0006220)	49	18	7.41	+	2.43	2.90E-03	3.55E-02
mitotic spindle assembly (GO:0090307)	49	18	7.41	+	2.43	2.90E-03	3.54E-02
lipoprotein biosynthetic process (GO:0042158)	90	33	13.61	+	2.42	4.30E-05	9.15E-04
RNA 3'-end processing (GO:0031123)	142	52	21.48	+	2.42	3.12E-07	1.08E-05
organic hydroxy compound metabolic process (GO:1901615)	481	176	72.76	+	2.42	3.02E-21	3.66E-19
DNA conformation change (GO:0071103)	309	113	46.74	+	2.42	5.84E-14	4.77E-12
telomere organization (GO:0032200)	104	38	15.73	+	2.42	1.44E-05	3.43E-04
proteasome-mediated ubiquitin-dependent protein catabolic process (GO:0043161)	329	120	49.77	+	2.41	1.19E-14	1.03E-12
endoplasmic reticulum to Golgi vesicle-mediated transport (GO:0006888)	198	72	29.95	+	2.40	3.01E-09	1.48E-07
small molecule metabolic process (GO:0044281)	1748	635	264.41	+	2.40	2.84E-78	2.65E-75
nucleosome organization (GO:0034728)	157	57	23.75	+	2.40	1.17E-07	4.26E-06
stimulatory C-type lectin receptor signaling pathway (GO:0002223)	113	41	17.09	+	2.40	6.50E-06	1.71E-04
cellular respiration (GO:0045333)	160	58	24.20	+	2.40	9.03E-08	3.32E-06
spindle assembly (GO:0051225)	94	34	14.22	+	2.39	5.58E-05	1.16E-03
retinoid metabolic process (GO:0001523)	108	39	16.34	+	2.39	1.23E-05	3.03E-04
purine nucleoside triphosphate metabolic process (GO:0009144)	72	26	10.89	+	2.39	4.13E-04	6.74E-03
purine ribonucleoside triphosphate biosynthetic process (GO:0009206)	50	18	7.56	+	2.38	3.19E-03	3.87E-02
regulation of centrosome cycle (GO:0046605)	50	18	7.56	+	2.38	3.19E-03	3.87E-02
organonitrogen compound biosynthetic process (GO:1901566)	1403	505	212.22	+	2.38	8.85E-60	5.40E-57
carboxylic acid biosynthetic process (GO:0046394)	314	113	47.50	+	2.38	1.52E-13	1.17E-11
proteasomal protein catabolic process (GO:0010498)	351	126	53.09	+	2.37	4.93E-15	4.39E-13
organic acid biosynthetic process (GO:0016053)	315	113	47.65	+	2.37	1.62E-13	1.25E-11
regulation of microtubule polymerization (GO:0031113)	53	19	8.02	+	2.37	2.39E-03	3.03E-02
fatty acid derivative biosynthetic process (GO:1901570)	95	34	14.37	+	2.37	6.04E-05	1.24E-03
nucleoside triphosphate metabolic process (GO:0009141)	95	34	14.37	+	2.37	6.04E-05	1.24E-03
intracellular protein transport (GO:0006886)	992	355	150.05	+	2.37	5.96E-41	1.93E-38
organophosphate metabolic process (GO:0019637)	903	323	136.59	+	2.36	4.13E-37	1.19E-34
positive regulation of ATPase activity (GO:0032781)	56	20	8.47	+	2.36	1.82E-03	2.40E-02
regulation of stem cell differentiation (GO:2000736)	115	41	17.40	+	2.36	1.20E-05	2.97E-04
telomere maintenance (GO:0000723)	101	36	15.28	+	2.36	3.45E-05	7.49E-04
generation of precursor metabolites and energy (GO:0006091)	413	147	62.47	+	2.35	4.51E-17	4.58E-15
antigen processing and presentation (GO:0019882)	222	79	33.58	+	2.35	8.81E-10	4.61E-08
non-canonical Wnt signaling pathway (GO:0035567)	135	48	20.42	+	2.35	2.43E-06	6.93E-05
chromatin organization involved in negative regulation of transcription (GO:0097549)	76	27	11.50	+	2.35	3.43E-04	5.72E-03
proton transmembrane transport (GO:1902600)	138	49	20.87	+	2.35	1.79E-06	5.26E-05
regulation of RNA stability (GO:0043487)	203	72	30.71	+	2.34	7.71E-09	3.48E-07
cellular macromolecule catabolic process (GO:0044265)	926	328	140.07	+	2.34	4.90E-37	1.39E-34
innate immune response activating cell surface receptor signaling pathway (GO:0002220)	116	41	17.55	+	2.34	1.30E-05	3.19E-04
polyol metabolic process (GO:0019751)	122	43	18.45	+	2.33	7.53E-06	1.97E-04
pyrimidine-containing compound metabolic process (GO:0072527)	88	31	13.31	+	2.33	1.73E-04	3.10E-03
endosome organization (GO:0007032)	77	27	11.65	+	2.32	3.87E-04	6.37E-03
innate immune response-activating signal transduction (GO:0002758)	117	41	17.70	+	2.32	1.43E-05	3.43E-04
purine ribonucleoside diphosphate metabolic process (GO:0009179)	63	22	9.53	+	2.31	1.77E-03	2.33E-02
purine nucleoside diphosphate metabolic process (GO:0009135)	63	22	9.53	+	2.31	1.77E-03	2.33E-02
regulation of establishment of planar polarity (GO:0090175)	115	40	17.40	+	2.30	2.09E-05	4.77E-04
DNA-dependent DNA replication (GO:0006261)	141	49	21.33	+	2.30	2.40E-06	6.86E-05
regulation of mRNA stability (GO:0043488)	193	67	29.19	+	2.30	4.74E-08	1.84E-06
negative regulation of mitotic cell cycle phase transition (GO:1901991)	219	76	33.13	+	2.29	5.31E-09	2.46E-07
organic substance catabolic process (GO:1901575)	1782	616	269.55	+	2.29	6.62E-69	5.00E-66
phosphatidylcholine metabolic process (GO:0046470)	81	28	12.25	+	2.29	4.94E-04	7.90E-03
IRE1-mediated unfolded protein response (GO:0036498)	55	19	8.32	+	2.28	3.07E-03	3.74E-02
sterol metabolic process (GO:0016125)	139	48	21.03	+	2.28	3.48E-06	9.64E-05
protein K48-linked ubiquitination (GO:0070936)	58	20	8.77	+	2.28	3.53E-03	4.22E-02
amino acid transmembrane transport (GO:0003333)	87	30	13.16	+	2.28	2.72E-04	4.64E-03
macromolecule catabolic process (GO:0009057)	1060	365	160.34	+	2.28	4.72E-39	1.44E-36
ribonucleoprotein complex localization (GO:0071166)	128	44	19.36	+	2.27	1.13E-05	2.82E-04
ribonucleoside diphosphate metabolic process (GO:0009185)	67	23	10.13	+	2.27	1.43E-03	1.96E-02
electron transport chain (GO:0022900)	178	61	26.92	+	2.27	2.14E-07	7.59E-06
DNA replication (GO:0006260)	225	77	34.03	+	2.26	8.21E-09	3.68E-07
regulation of RNA splicing (GO:0043484)	158	54	23.90	+	2.26	1.10E-06	3.37E-05
monocarboxylic acid biosynthetic process (GO:0072330)	199	68	30.10	+	2.26	4.69E-08	1.83E-06
positive regulation of mitotic cell cycle phase transition (GO:1901992)	82	28	12.40	+	2.26	5.29E-04	8.36E-03
steroid metabolic process (GO:0008202)	258	88	39.03	+	2.25	5.68E-10	3.04E-08
cellular carbohydrate metabolic process (GO:0044262)	176	60	26.62	+	2.25	3.10E-07	1.07E-05
hormone metabolic process (GO:0042445)	197	67	29.80	+	2.25	6.76E-08	2.56E-06
regulation of mRNA catabolic process (GO:0061013)	215	73	32.52	+	2.24	1.91E-08	7.97E-07
ribonucleoprotein complex export from nucleus (GO:0071426)	127	43	19.21	+	2.24	1.78E-05	4.13E-04
cellular catabolic process (GO:0044248)	1830	619	276.81	+	2.24	2.76E-66	1.99E-63
establishment of protein localization to mitochondrion (GO:0072655)	74	25	11.19	+	2.23	1.41E-03	1.94E-02
regulation of alternative mRNA splicing, via spliceosome (GO:0000381)	77	26	11.65	+	2.23	1.03E-03	1.48E-02
negative regulation of gene expression, epigenetic (GO:0045814)	77	26	11.65	+	2.23	1.03E-03	1.48E-02
lipid modification (GO:0030258)	234	79	35.40	+	2.23	5.99E-09	2.72E-07
RNA methylation (GO:0001510)	86	29	13.01	+	2.23	4.34E-04	7.02E-03
mRNA export from nucleus (GO:0006406)	110	37	16.64	+	2.22	7.08E-05	1.41E-03
mRNA-containing ribonucleoprotein complex export from nucleus (GO:0071427)	110	37	16.64	+	2.22	7.08E-05	1.41E-03
negative regulation of cell cycle phase transition (GO:1901988)	235	79	35.55	+	2.22	9.76E-09	4.30E-07
lipoprotein metabolic process (GO:0042157)	122	41	18.45	+	2.22	3.38E-05	7.39E-04
organic anion transport (GO:0015711)	486	163	73.51	+	2.22	8.01E-17	7.99E-15
regulation of cellular ketone metabolic process (GO:0010565)	197	66	29.80	+	2.21	1.67E-07	6.00E-06
Golgi vesicle transport (GO:0048193)	400	134	60.51	+	2.21	5.69E-14	4.68E-12
cellular lipid catabolic process (GO:0044242)	206	69	31.16	+	2.21	7.34E-08	2.77E-06
catabolic process (GO:0009056)	2103	701	318.11	+	2.20	4.92E-74	4.34E-71
vacuolar transport (GO:0007034)	150	50	22.69	+	2.20	7.02E-06	1.84E-04
protein localization to mitochondrion (GO:0070585)	81	27	12.25	+	2.20	8.30E-04	1.24E-02
cellular nitrogen compound biosynthetic process (GO:0044271)	1578	526	238.69	+	2.20	6.93E-54	3.79E-51
retrograde transport, endosome to Golgi (GO:0042147)	93	31	14.07	+	2.20	4.13E-04	6.74E-03
cellular protein-containing complex assembly (GO:0034622)	824	274	124.64	+	2.20	2.36E-27	4.35E-25
nuclear chromosome segregation (GO:0098813)	217	72	32.82	+	2.19	5.55E-08	2.13E-06
cellular response to hypoxia (GO:0071456)	190	63	28.74	+	2.19	4.52E-07	1.50E-05
macroautophagy (GO:0016236)	190	63	28.74	+	2.19	4.52E-07	1.50E-05
response to unfolded protein (GO:0006986)	169	56	25.56	+	2.19	2.12E-06	6.11E-05
protein import (GO:0017038)	160	53	24.20	+	2.19	3.20E-06	8.95E-05
biosynthetic process (GO:0009058)	2861	947	432.77	+	2.19	5.00E-104	8.82E-101
cellular lipid metabolic process (GO:0044255)	977	323	147.78	+	2.19	9.50E-32	2.19E-29
cellular biosynthetic process (GO:0044249)	2703	893	408.87	+	2.18	1.57E-96	1.91E-93
RNA metabolic process (GO:0016070)	1619	534	244.90	+	2.18	1.19E-53	6.32E-51
organic hydroxy compound biosynthetic process (GO:1901617)	176	58	26.62	+	2.18	1.29E-06	3.86E-05
chromatin organization involved in regulation of transcription (GO:0034401)	88	29	13.31	+	2.18	8.03E-04	1.20E-02
negative regulation of protein ubiquitination (GO:0031397)	79	26	11.95	+	2.18	1.20E-03	1.68E-02
organic substance biosynthetic process (GO:1901576)	2799	921	423.39	+	2.18	2.59E-99	3.42E-96
protein export from nucleus (GO:0006611)	152	50	22.99	+	2.17	7.89E-06	2.05E-04
ubiquitin-dependent ERAD pathway (GO:0030433)	76	25	11.50	+	2.17	1.59E-03	2.16E-02
membrane fusion (GO:0061025)	149	49	22.54	+	2.17	1.05E-05	2.63E-04
protein localization to organelle (GO:0033365)	779	256	117.83	+	2.17	5.58E-25	8.20E-23
negative regulation of DNA recombination (GO:0045910)	64	21	9.68	+	2.17	3.37E-03	4.04E-02
anion transmembrane transport (GO:0098656)	302	99	45.68	+	2.17	3.20E-10	1.77E-08
RNA phosphodiester bond hydrolysis (GO:0090501)	168	55	25.41	+	2.16	3.18E-06	8.91E-05
regulation of mitotic cell cycle phase transition (GO:1901990)	419	137	63.38	+	2.16	1.18E-13	9.26E-12
heterocycle metabolic process (GO:0046483)	2937	958	444.26	+	2.16	1.84E-102	2.91E-99
energy derivation by oxidation of organic compounds (GO:0015980)	230	75	34.79	+	2.16	4.96E-08	1.91E-06
RNA export from nucleus (GO:0006405)	135	44	20.42	+	2.15	3.04E-05	6.72E-04
cellular response to unfolded protein (GO:0034620)	132	43	19.97	+	2.15	3.98E-05	8.55E-04
cellular nitrogen compound metabolic process (GO:0034641)	3405	1109	515.05	+	2.15	1.23E-122	2.78E-119
G1/S transition of mitotic cell cycle (GO:0000082)	129	42	19.51	+	2.15	5.27E-05	1.10E-03
RNA modification (GO:0009451)	172	56	26.02	+	2.15	2.62E-06	7.43E-05
transport across blood-brain barrier (GO:0150104)	86	28	13.01	+	2.15	1.14E-03	1.61E-02
nucleobase-containing compound metabolic process (GO:0006139)	2743	890	414.92	+	2.15	1.32E-92	1.50E-89
positive regulation of viral process (GO:0048524)	111	36	16.79	+	2.14	1.88E-04	3.35E-03
carbohydrate metabolic process (GO:0005975)	494	160	74.72	+	2.14	2.20E-15	2.01E-13
amine metabolic process (GO:0009308)	68	22	10.29	+	2.14	4.16E-03	4.79E-02
post-Golgi vesicle-mediated transport (GO:0006892)	133	43	20.12	+	2.14	4.34E-05	9.22E-04
glycosyl compound metabolic process (GO:1901657)	133	43	20.12	+	2.14	4.34E-05	9.21E-04
antigen processing and presentation of exogenous peptide antigen via MHC class II (GO:0019886)	99	32	14.98	+	2.14	3.96E-04	6.50E-03
exocytic process (GO:0140029)	65	21	9.83	+	2.14	3.76E-03	4.44E-02
nitrogen compound transport (GO:0071705)	1861	601	281.50	+	2.13	2.06E-58	1.21E-55
positive regulation of proteasomal ubiquitin-dependent protein catabolic process (GO:0032436)	90	29	13.61	+	2.13	8.98E-04	1.32E-02
vascular transport (GO:0010232)	87	28	13.16	+	2.13	1.20E-03	1.68E-02
organic cyclic compound metabolic process (GO:1901360)	3220	1036	487.07	+	2.13	1.13E-109	2.24E-106
nucleobase-containing small molecule biosynthetic process (GO:0034404)	115	37	17.40	+	2.13	1.56E-04	2.84E-03
cellular aromatic compound metabolic process (GO:0006725)	2987	961	451.82	+	2.13	8.53E-100	1.23E-96
cellular response to decreased oxygen levels (GO:0036294)	199	64	30.10	+	2.13	7.83E-07	2.48E-05
mRNA transport (GO:0051028)	162	52	24.50	+	2.12	9.05E-06	2.30E-04
posttranscriptional regulation of gene expression (GO:0010608)	555	178	83.95	+	2.12	1.15E-16	1.13E-14
cell cycle G1/S phase transition (GO:0044843)	131	42	19.82	+	2.12	6.18E-05	1.27E-03
chromatin assembly (GO:0031497)	147	47	22.24	+	2.11	2.45E-05	5.52E-04
viral process (GO:0016032)	845	270	127.82	+	2.11	8.87E-25	1.29E-22
cellular response to oxygen levels (GO:0071453)	216	69	32.67	+	2.11	3.39E-07	1.16E-05
carbohydrate biosynthetic process (GO:0016051)	138	44	20.87	+	2.11	5.61E-05	1.16E-03
ERAD pathway (GO:0036503)	91	29	13.76	+	2.11	9.68E-04	1.41E-02
protein transport (GO:0015031)	1509	480	228.26	+	2.10	3.40E-44	1.25E-41
DNA repair (GO:0006281)	522	166	78.96	+	2.10	2.71E-15	2.46E-13
gene expression (GO:0010467)	2105	669	318.41	+	2.10	1.37E-63	9.43E-61
endoplasmic reticulum unfolded protein response (GO:0030968)	107	34	16.19	+	2.10	3.80E-04	6.27E-03
DNA packaging (GO:0006323)	192	61	29.04	+	2.10	2.05E-06	5.96E-05
cytosolic transport (GO:0016482)	148	47	22.39	+	2.10	2.69E-05	6.01E-04
chromosome segregation (GO:0007059)	274	87	41.45	+	2.10	1.54E-08	6.58E-07
sulfur compound biosynthetic process (GO:0044272)	186	59	28.14	+	2.10	3.61E-06	9.99E-05
lipid metabolic process (GO:0006629)	1236	392	186.96	+	2.10	1.31E-35	3.41E-33
response to amino acid starvation (GO:1990928)	82	26	12.40	+	2.10	2.30E-03	2.94E-02
antigen processing and presentation of peptide antigen via MHC class II (GO:0002495)	101	32	15.28	+	2.09	6.70E-04	1.03E-02
regulation of cellular response to heat (GO:1900034)	79	25	11.95	+	2.09	2.09E-03	2.71E-02
vesicle organization (GO:0016050)	313	99	47.35	+	2.09	1.50E-09	7.66E-08
amide transport (GO:0042886)	1575	498	238.24	+	2.09	2.45E-45	9.49E-43
response to topologically incorrect protein (GO:0035966)	190	60	28.74	+	2.09	2.88E-06	8.11E-05
peptide transport (GO:0015833)	1540	485	232.95	+	2.08	7.61E-44	2.75E-41
protein modification by small protein removal (GO:0070646)	296	93	44.77	+	2.08	5.71E-09	2.62E-07
regulation of protein ubiquitination (GO:0031396)	207	65	31.31	+	2.08	1.23E-06	3.74E-05
lipid catabolic process (GO:0016042)	306	96	46.29	+	2.07	3.87E-09	1.87E-07
chromatin assembly or disassembly (GO:0006333)	166	52	25.11	+	2.07	1.76E-05	4.09E-04
nuclear export (GO:0051168)	166	52	25.11	+	2.07	1.76E-05	4.09E-04
protein deubiquitination (GO:0016579)	278	87	42.05	+	2.07	2.02E-08	8.40E-07
RNA localization (GO:0006403)	227	71	34.34	+	2.07	4.12E-07	1.39E-05
intracellular transport (GO:0046907)	1526	477	230.83	+	2.07	2.41E-42	8.49E-40
dicarboxylic acid transport (GO:0006835)	80	25	12.10	+	2.07	3.25E-03	3.92E-02
modification-dependent macromolecule catabolic process (GO:0043632)	557	174	84.25	+	2.07	1.87E-15	1.71E-13
proteolysis involved in cellular protein catabolic process (GO:0051603)	604	188	91.36	+	2.06	1.69E-16	1.65E-14
cellular response to topologically incorrect protein (GO:0035967)	151	47	22.84	+	2.06	4.69E-05	9.88E-04
organic substance transport (GO:0071702)	2229	693	337.17	+	2.06	6.47E-63	4.28E-60
carboxylic acid transport (GO:0046942)	312	97	47.19	+	2.06	5.25E-09	2.44E-07
antigen processing and presentation of peptide or polysaccharide antigen via MHC class II (GO:0002504)	103	32	15.58	+	2.05	7.64E-04	1.15E-02
secondary alcohol metabolic process (GO:1902652)	132	41	19.97	+	2.05	1.56E-04	2.84E-03
mitotic cell cycle phase transition (GO:0044772)	290	90	43.87	+	2.05	1.58E-08	6.71E-07
double-strand break repair via homologous recombination (GO:0000724)	100	31	15.13	+	2.05	1.00E-03	1.45E-02
organic acid transport (GO:0015849)	313	97	47.35	+	2.05	5.53E-09	2.55E-07
anion transport (GO:0006820)	610	189	92.27	+	2.05	2.27E-16	2.21E-14
nucleic acid metabolic process (GO:0090304)	2241	694	338.98	+	2.05	1.31E-62	8.29E-60
regulation of protein modification by small protein conjugation or removal (GO:1903320)	239	74	36.15	+	2.05	3.24E-07	1.11E-05
modification-dependent protein catabolic process (GO:0019941)	546	169	82.59	+	2.05	9.42E-15	8.26E-13
neutrophil degranulation (GO:0043312)	482	149	72.91	+	2.04	3.90E-13	2.98E-11
positive regulation of proteasomal protein catabolic process (GO:1901800)	110	34	16.64	+	2.04	6.97E-04	1.07E-02
cell cycle phase transition (GO:0044770)	298	92	45.08	+	2.04	1.47E-08	6.32E-07
nuclear division (GO:0000280)	305	94	46.14	+	2.04	1.34E-08	5.81E-07
regulation of gene expression, epigenetic (GO:0040029)	172	53	26.02	+	2.04	1.67E-05	3.93E-04
regulation of macroautophagy (GO:0016241)	166	51	25.11	+	2.03	2.80E-05	6.25E-04
cellular monovalent inorganic cation homeostasis (GO:0030004)	114	35	17.24	+	2.03	5.54E-04	8.74E-03
establishment of protein localization (GO:0045184)	1593	489	240.96	+	2.03	1.05E-41	3.55E-39
positive regulation of canonical Wnt signaling pathway (GO:0090263)	150	46	22.69	+	2.03	7.06E-05	1.41E-03
neutrophil activation involved in immune response (GO:0002283)	486	149	73.51	+	2.03	7.13E-13	5.29E-11
neutrophil mediated immunity (GO:0002446)	493	151	74.57	+	2.02	4.57E-13	3.45E-11
monovalent inorganic cation homeostasis (GO:0055067)	147	45	22.24	+	2.02	9.20E-05	1.79E-03
protein localization to membrane (GO:0072657)	526	161	79.56	+	2.02	1.08E-13	8.53E-12
symbiotic process (GO:0044403)	936	286	141.58	+	2.02	9.95E-24	1.37E-21
organelle fission (GO:0048285)	334	102	50.52	+	2.02	4.33E-09	2.04E-07
ATP metabolic process (GO:0046034)	210	64	31.77	+	2.01	3.43E-06	9.55E-05
cellular protein catabolic process (GO:0044257)	637	194	96.35	+	2.01	3.56E-16	3.40E-14
ubiquitin-dependent protein catabolic process (GO:0006511)	539	164	81.53	+	2.01	8.56E-14	6.83E-12
regulation of cell cycle phase transition (GO:1901987)	457	139	69.13	+	2.01	7.85E-12	5.07E-10
recombinational repair (GO:0000725)	102	31	15.43	+	2.01	1.17E-03	1.64E-02
nucleus organization (GO:0006997)	132	40	19.97	+	2.00	2.51E-04	4.32E-03
positive regulation of protein modification by small protein conjugation or removal (GO:1903322)	142	43	21.48	+	2.00	1.68E-04	3.02E-03
protein catabolic process (GO:0030163)	691	209	104.52	+	2.00	4.33E-17	4.43E-15
membrane docking (GO:0022406)	179	54	27.08	+	1.99	2.34E-05	5.30E-04
neutrophil activation (GO:0042119)	494	149	74.72	+	1.99	2.39E-12	1.65E-10
phospholipid metabolic process (GO:0006644)	395	119	59.75	+	1.99	3.53E-10	1.94E-08
granulocyte activation (GO:0036230)	498	150	75.33	+	1.99	1.90E-12	1.32E-10
cellular response to interleukin-1 (GO:0071347)	176	53	26.62	+	1.99	3.02E-05	6.68E-04
cellular macromolecule biosynthetic process (GO:0034645)	1636	492	247.47	+	1.99	4.87E-40	1.55E-37
vacuole organization (GO:0007033)	143	43	21.63	+	1.99	1.79E-04	3.21E-03
nucleic acid phosphodiester bond hydrolysis (GO:0090305)	306	92	46.29	+	1.99	4.91E-08	1.90E-06
RNA transport (GO:0050658)	203	61	30.71	+	1.99	8.60E-06	2.21E-04
nucleic acid transport (GO:0050657)	203	61	30.71	+	1.99	8.60E-06	2.21E-04
organelle localization by membrane tethering (GO:0140056)	170	51	25.71	+	1.98	5.10E-05	1.07E-03
nucleoside metabolic process (GO:0009116)	107	32	16.19	+	1.98	1.43E-03	1.96E-02
organonitrogen compound catabolic process (GO:1901565)	1088	325	164.57	+	1.97	1.15E-25	1.78E-23
carbohydrate derivative biosynthetic process (GO:1901137)	616	184	93.18	+	1.97	8.87E-15	7.81E-13
regulation of proteasomal ubiquitin-dependent protein catabolic process (GO:0032434)	134	40	20.27	+	1.97	4.04E-04	6.63E-03
establishment of RNA localization (GO:0051236)	205	61	31.01	+	1.97	9.93E-06	2.50E-04
positive regulation of mitotic cell cycle (GO:0045931)	111	33	16.79	+	1.97	1.16E-03	1.63E-02
response to heat (GO:0009408)	101	30	15.28	+	1.96	2.50E-03	3.14E-02
nucleocytoplasmic transport (GO:0006913)	266	79	40.24	+	1.96	7.21E-07	2.30E-05
glycerophospholipid metabolic process (GO:0006650)	330	98	49.92	+	1.96	2.82E-08	1.14E-06
negative regulation of protein modification by small protein conjugation or removal (GO:1903321)	91	27	13.76	+	1.96	3.67E-03	4.34E-02
carbohydrate derivative metabolic process (GO:1901135)	1020	302	154.29	+	1.96	2.41E-23	3.30E-21
transition metal ion transport (GO:0000041)	125	37	18.91	+	1.96	6.34E-04	9.84E-03
myeloid leukocyte mediated immunity (GO:0002444)	514	152	77.75	+	1.95	3.94E-12	2.65E-10
leukocyte degranulation (GO:0043299)	504	149	76.24	+	1.95	8.33E-12	5.35E-10
protein-containing complex assembly (GO:0065003)	1302	384	196.95	+	1.95	1.82E-29	3.66E-27
macromolecule biosynthetic process (GO:0009059)	1682	496	254.43	+	1.95	1.92E-38	5.75E-36
negative regulation of cell cycle process (GO:0010948)	329	97	49.77	+	1.95	4.07E-08	1.62E-06
DNA recombination (GO:0006310)	224	66	33.88	+	1.95	6.47E-06	1.70E-04
mitotic prometaphase (GO:0000236)	170	50	25.71	+	1.94	8.08E-05	1.59E-03
nuclear transport (GO:0051169)	269	79	40.69	+	1.94	8.35E-07	2.62E-05
regulation of signal transduction by p53 class mediator (GO:1901796)	181	53	27.38	+	1.94	5.70E-05	1.18E-03
cholesterol metabolic process (GO:0008203)	123	36	18.61	+	1.93	8.81E-04	1.30E-02
positive regulation of translation (GO:0045727)	137	40	20.72	+	1.93	4.80E-04	7.72E-03
activation of innate immune response (GO:0002218)	144	42	21.78	+	1.93	4.18E-04	6.81E-03
protein polyubiquitination (GO:0000209)	326	95	49.31	+	1.93	8.19E-08	3.06E-06
regulation of DNA recombination (GO:0000018)	127	37	19.21	+	1.93	1.01E-03	1.45E-02
DNA metabolic process (GO:0006259)	769	224	116.32	+	1.93	1.08E-16	1.07E-14
membrane lipid metabolic process (GO:0006643)	206	60	31.16	+	1.93	2.22E-05	5.06E-04
myeloid cell activation involved in immune response (GO:0002275)	519	151	78.51	+	1.92	1.54E-11	9.71E-10
respiratory electron transport chain (GO:0022904)	110	32	16.64	+	1.92	2.47E-03	3.11E-02
regulation of gene silencing (GO:0060968)	117	34	17.70	+	1.92	1.49E-03	2.03E-02
positive regulation of cell cycle phase transition (GO:1901989)	100	29	15.13	+	1.92	3.61E-03	4.30E-02
organic cyclic compound biosynthetic process (GO:1901362)	1233	357	186.51	+	1.91	4.31E-26	7.12E-24
chromosome organization (GO:0051276)	1063	307	160.79	+	1.91	2.98E-22	3.81E-20
regulation of translation (GO:0006417)	374	108	56.57	+	1.91	1.69E-08	7.07E-07
regulation of cellular amide metabolic process (GO:0034248)	433	125	65.50	+	1.91	1.19E-09	6.13E-08
phosphatidylinositol biosynthetic process (GO:0006661)	111	32	16.79	+	1.91	2.56E-03	3.19E-02
positive regulation of protein ubiquitination (GO:0031398)	122	35	18.45	+	1.90	1.82E-03	2.40E-02
heterocycle biosynthetic process (GO:0018130)	1085	311	164.12	+	1.89	3.35E-22	4.26E-20
tumor necrosis factor-mediated signaling pathway (GO:0033209)	126	36	19.06	+	1.89	1.45E-03	1.98E-02
protein maturation (GO:0051604)	238	68	36.00	+	1.89	1.14E-05	2.83E-04
transmembrane transport (GO:0055085)	1303	372	197.10	+	1.89	2.72E-26	4.59E-24
protein stabilization (GO:0050821)	193	55	29.19	+	1.88	9.02E-05	1.77E-03
sphingolipid metabolic process (GO:0006665)	158	45	23.90	+	1.88	3.49E-04	5.80E-03
Golgi organization (GO:0007030)	137	39	20.72	+	1.88	1.02E-03	1.47E-02
autophagy (GO:0006914)	306	87	46.29	+	1.88	7.74E-07	2.46E-05
