Cluster representative	Cluster member	Cluster member description	Member P-value	Member user defined value	Member IC	Member frequency
GO:0048284	GO:0090174	organelle membrane fusion	2.290e-04	0.000e+00	4.327e+00	4.710e-05
GO:0098763	GO:0098763	mitotic cell cycle phase	1.420e-12	0.000e+00	8.419e+00	3.815e-09
GO:0098763	GO:0044848	biological phase	1.430e-12	0.000e+00	8.419e+00	3.815e-09
GO:0098763	GO:0000087	mitotic M phase	6.090e-12	0.000e+00	8.419e+00	3.815e-09
GO:0098763	GO:0000279	M phase	6.130e-12	0.000e+00	8.419e+00	3.815e-09
GO:0098763	GO:0000084	mitotic S phase	8.990e-11	0.000e+00	8.419e+00	3.815e-09
GO:0098763	GO:0051320	S phase	9.030e-11	0.000e+00	8.419e+00	3.815e-09
GO:0098763	GO:0051329	mitotic interphase	4.140e-10	0.000e+00	8.419e+00	3.815e-09
GO:0098763	GO:0051325	interphase	4.120e-10	0.000e+00	8.419e+00	3.815e-09
GO:0098763	GO:0051322	anaphase	9.900e-11	0.000e+00	8.419e+00	3.815e-09
GO:0098763	GO:0000090	mitotic anaphase	9.850e-11	0.000e+00	8.419e+00	3.815e-09
GO:0098763	GO:0022403	cell cycle phase	1.410e-12	0.000e+00	8.419e+00	3.815e-09
GO:0098763	GO:0000236	mitotic prometaphase	1.590e-03	0.000e+00	8.419e+00	3.815e-09
GO:0006629	GO:0008610	lipid biosynthetic process	7.170e-25	0.000e+00	1.748e+00	1.787e-02
GO:0006629	GO:0006629	lipid metabolic process	3.410e-33	0.000e+00	1.508e+00	3.104e-02
GO:0006629	GO:0044255	cellular lipid metabolic process	2.190e-29	0.000e+00	1.646e+00	2.260e-02
GO:0006629	GO:0008654	phospholipid biosynthetic process	2.070e-12	0.000e+00	2.179e+00	6.622e-03
GO:0006629	GO:0006644	phospholipid metabolic process	1.940e-08	0.000e+00	2.092e+00	8.098e-03
GO:0006629	GO:0006490	oligosaccharide-lipid intermediate biosynthetic process	1.180e-04	0.000e+00	3.953e+00	1.115e-04
GO:0006629	GO:0006488	dolichol-linked oligosaccharide biosynthetic process	2.420e-04	0.000e+00	4.006e+00	9.851e-05
GO:0006629	GO:0006720	isoprenoid metabolic process	7.880e-08	0.000e+00	2.455e+00	3.505e-03
GO:0006629	GO:0008299	isoprenoid biosynthetic process	2.120e-03	0.000e+00	2.466e+00	3.420e-03
GO:0006629	GO:0006721	terpenoid metabolic process	3.770e-06	0.000e+00	2.801e+00	1.580e-03
GO:0006629	GO:0016098	monoterpenoid metabolic process	2.970e-02	0.000e+00	6.254e+00	5.569e-07
GO:0006629	GO:0008202	steroid metabolic process	3.040e-08	0.000e+00	3.199e+00	6.328e-04
GO:0006629	GO:0006694	steroid biosynthetic process	3.800e-05	0.000e+00	3.446e+00	3.582e-04
GO:0006629	GO:0016125	sterol metabolic process	9.640e-05	0.000e+00	3.570e+00	2.692e-04
GO:0006629	GO:0016126	sterol biosynthetic process	7.490e-04	0.000e+00	3.745e+00	1.800e-04
GO:0006629	GO:0006695	cholesterol biosynthetic process	5.230e-03	0.000e+00	4.464e+00	3.432e-05
GO:0006629	GO:1902653	secondary alcohol biosynthetic process	5.240e-03	0.000e+00	3.954e+00	1.112e-04
GO:0006629	GO:0008203	cholesterol metabolic process	1.300e-02	0.000e+00	4.001e+00	9.983e-05
GO:0006629	GO:0006643	membrane lipid metabolic process	5.060e-04	0.000e+00	2.567e+00	2.712e-03
GO:0006629	GO:0046467	membrane lipid biosynthetic process	2.580e-02	0.000e+00	2.620e+00	2.397e-03
GO:0006629	GO:0006665	sphingolipid metabolic process	5.800e-03	0.000e+00	3.461e+00	3.458e-04
GO:0006629	GO:0045017	glycerolipid biosynthetic process	3.890e-10	0.000e+00	2.838e+00	1.454e-03
GO:0006629	GO:0046474	glycerophospholipid biosynthetic process	4.770e-09	0.000e+00	2.888e+00	1.295e-03
GO:0006629	GO:0006661	phosphatidylinositol biosynthetic process	3.190e-02	0.000e+00	3.221e+00	6.011e-04
GO:0006629	GO:0006646	phosphatidylethanolamine biosynthetic process	1.350e-03	0.000e+00	3.982e+00	1.044e-04
GO:0006629	GO:0046337	phosphatidylethanolamine metabolic process	1.890e-02	0.000e+00	3.966e+00	1.082e-04
GO:0006629	GO:0006656	phosphatidylcholine biosynthetic process	3.830e-05	0.000e+00	4.318e+00	4.803e-05
GO:0006629	GO:0046470	phosphatidylcholine metabolic process	7.900e-03	0.000e+00	4.093e+00	8.066e-05
GO:0006629	GO:0019432	triglyceride biosynthetic process	3.010e-02	0.000e+00	4.033e+00	9.265e-05
GO:0006629	GO:0046463	acylglycerol biosynthetic process	2.740e-02	0.000e+00	4.018e+00	9.587e-05
GO:0006629	GO:0046460	neutral lipid biosynthetic process	2.740e-02	0.000e+00	4.018e+00	9.593e-05
GO:0006629	GO:0006650	glycerophospholipid metabolic process	1.140e-06	0.000e+00	2.657e+00	2.203e-03
GO:0006629	GO:0046486	glycerolipid metabolic process	1.240e-06	0.000e+00	2.620e+00	2.401e-03
GO:0006629	GO:0046341	CDP-diacylglycerol metabolic process	2.750e-03	0.000e+00	3.659e+00	2.195e-04
GO:0006629	GO:0016024	CDP-diacylglycerol biosynthetic process	5.630e-03	0.000e+00	3.689e+00	2.047e-04
GO:0051983	GO:0051983	regulation of chromosome segregation	1.440e-03	0.000e+00	3.934e+00	1.164e-04
GO:0051983	GO:0033045	regulation of sister chromatid segregation	5.560e-03	0.000e+00	3.972e+00	1.068e-04
GO:0042158	GO:0042158	lipoprotein biosynthetic process	9.150e-04	0.000e+00	3.307e+00	4.935e-04
GO:0042158	GO:0042157	lipoprotein metabolic process	7.390e-04	0.000e+00	3.272e+00	5.350e-04
GO:0042158	GO:0002084	protein depalmitoylation	4.560e-02	0.000e+00	4.885e+00	1.304e-05
GO:0006091	GO:0006091	generation of precursor metabolites and energy	4.580e-15	0.000e+00	1.406e+00	3.925e-02
GO:0006091	GO:0022900	electron transport chain	7.590e-06	0.000e+00	1.790e+00	1.623e-02
GO:0006091	GO:0055114	oxidation-reduction process	3.510e-45	0.000e+00	9.170e-01	1.211e-01
GO:0006091	GO:0022904	respiratory electron transport chain	3.110e-02	0.000e+00	2.410e+00	3.894e-03
GO:0006091	GO:0045333	cellular respiration	3.320e-06	0.000e+00	2.144e+00	7.177e-03
GO:0006091	GO:0009060	aerobic respiration	2.360e-05	0.000e+00	2.169e+00	6.780e-03
GO:0006091	GO:0015980	energy derivation by oxidation of organic compounds	1.910e-06	0.000e+00	2.055e+00	8.814e-03
GO:0009056	GO:1901575	organic substance catabolic process	5.000e-66	0.000e+00	1.568e+00	2.701e-02
GO:0009056	GO:0009056	catabolic process	4.340e-71	0.000e+00	1.542e+00	2.870e-02
GO:0009056	GO:0016052	carbohydrate catabolic process	6.430e-08	0.000e+00	2.020e+00	9.549e-03
GO:0009056	GO:0044248	cellular catabolic process	1.990e-63	0.000e+00	1.790e+00	1.621e-02
GO:0009056	GO:1901565	organonitrogen compound catabolic process	1.780e-23	0.000e+00	2.044e+00	9.041e-03
GO:0009056	GO:0016042	lipid catabolic process	1.870e-07	0.000e+00	2.668e+00	2.147e-03
GO:0009056	GO:0044242	cellular lipid catabolic process	2.770e-06	0.000e+00	3.149e+00	7.091e-04
GO:0009056	GO:0008300	isoprenoid catabolic process	1.600e-02	0.000e+00	4.646e+00	2.262e-05
GO:0009056	GO:0044282	small molecule catabolic process	3.030e-27	0.000e+00	2.048e+00	8.963e-03
GO:0009056	GO:0046395	carboxylic acid catabolic process	3.000e-18	0.000e+00	2.202e+00	6.287e-03
GO:0009056	GO:0009063	cellular amino acid catabolic process	1.490e-08	0.000e+00	2.334e+00	4.630e-03
GO:0009056	GO:0016054	organic acid catabolic process	3.020e-18	0.000e+00	2.187e+00	6.506e-03
GO:0009056	GO:1901606	alpha-amino acid catabolic process	9.700e-06	0.000e+00	2.451e+00	3.536e-03
GO:0009056	GO:0009068	aspartate family amino acid catabolic process	6.690e-03	0.000e+00	3.272e+00	5.340e-04
GO:0009056	GO:0006554	lysine catabolic process	3.190e-02	0.000e+00	3.633e+00	2.329e-04
GO:0009056	GO:0009111	vitamin catabolic process	2.760e-03	0.000e+00	3.830e+00	1.479e-04
GO:0009056	GO:0042363	fat-soluble vitamin catabolic process	1.150e-02	0.000e+00	5.448e+00	3.563e-06
GO:0009056	GO:0009083	branched-chain amino acid catabolic process	3.420e-04	0.000e+00	4.163e+00	6.872e-05
GO:0009056	GO:0009081	branched-chain amino acid metabolic process	9.110e-04	0.000e+00	2.427e+00	3.743e-03
GO:0009056	GO:0072329	monocarboxylic acid catabolic process	3.790e-13	0.000e+00	2.875e+00	1.335e-03
GO:0009056	GO:0009062	fatty acid catabolic process	1.330e-08	0.000e+00	3.306e+00	4.947e-04
GO:0009056	GO:0009057	macromolecule catabolic process	1.440e-36	0.000e+00	2.134e+00	7.342e-03
GO:0009056	GO:0044265	cellular macromolecule catabolic process	1.390e-34	0.000e+00	2.391e+00	4.061e-03
GO:0009056	GO:0006401	RNA catabolic process	2.160e-24	0.000e+00	2.743e+00	1.808e-03
GO:0009056	GO:0034655	nucleobase-containing compound catabolic process	1.060e-23	0.000e+00	2.446e+00	3.583e-03
GO:0009056	GO:0044270	cellular nitrogen compound catabolic process	4.940e-23	0.000e+00	2.308e+00	4.925e-03
GO:0009056	GO:0046700	heterocycle catabolic process	1.670e-22	0.000e+00	2.329e+00	4.686e-03
GO:0009056	GO:1901361	organic cyclic compound catabolic process	1.090e-23	0.000e+00	2.248e+00	5.650e-03
GO:0009056	GO:0019439	aromatic compound catabolic process	4.650e-22	0.000e+00	2.222e+00	5.995e-03
GO:0009056	GO:0030163	protein catabolic process	4.430e-15	0.000e+00	2.831e+00	1.475e-03
GO:0009056	GO:0010498	proteasomal protein catabolic process	4.390e-13	0.000e+00	3.224e+00	5.977e-04
GO:0009056	GO:0010499	proteasomal ubiquitin-independent protein catabolic process	3.410e-04	0.000e+00	4.730e+00	1.860e-05
GO:0009056	GO:0043161	proteasome-mediated ubiquitin-dependent protein catabolic process	1.030e-12	0.000e+00	3.370e+00	4.267e-04
GO:0009056	GO:0031145	anaphase-promoting complex-dependent catabolic process	2.900e-12	0.000e+00	4.411e+00	3.881e-05
GO:0009056	GO:0031146	SCF-dependent proteasomal ubiquitin-dependent protein catabolic process	1.280e-06	0.000e+00	4.327e+00	4.706e-05
GO:0009056	GO:0044257	cellular protein catabolic process	3.400e-14	0.000e+00	4.883e+00	1.311e-05
GO:0009056	GO:0043632	modification-dependent macromolecule catabolic process	1.710e-13	0.000e+00	2.909e+00	1.234e-03
GO:0009056	GO:0019941	modification-dependent protein catabolic process	8.260e-13	0.000e+00	2.919e+00	1.205e-03
GO:0009056	GO:0016236	macroautophagy	1.500e-05	0.000e+00	4.363e+00	4.338e-05
GO:0009056	GO:0006914	autophagy	2.460e-05	0.000e+00	3.369e+00	4.276e-04
GO:0009056	GO:0061919	process utilizing autophagic mechanism	2.460e-05	0.000e+00	3.364e+00	4.322e-04
GO:0071166	GO:0071166	ribonucleoprotein complex localization	2.820e-04	0.000e+00	6.678e+00	2.098e-07
GO:0006260	GO:0006260	DNA replication	3.680e-07	0.000e+00	2.076e+00	8.403e-03
GO:0006260	GO:0034645	cellular macromolecule biosynthetic process	1.550e-37	0.000e+00	1.151e+00	7.066e-02
GO:1901990	GO:1901990	regulation of mitotic cell cycle phase transition	9.260e-12	0.000e+00	3.675e+00	2.116e-04
GO:1901990	GO:1901987	regulation of cell cycle phase transition	5.070e-10	0.000e+00	3.627e+00	2.359e-04
GO:1901990	GO:0007346	regulation of mitotic cell cycle	6.200e-10	0.000e+00	3.525e+00	2.984e-04
GO:1901990	GO:0051726	regulation of cell cycle	2.000e-10	0.000e+00	2.831e+00	1.475e-03
GO:1901990	GO:0010564	regulation of cell cycle process	2.460e-09	0.000e+00	3.080e+00	8.317e-04
GO:1901990	GO:0010389	regulation of G2/M transition of mitotic cell cycle	1.890e-10	0.000e+00	4.288e+00	5.152e-05
GO:1901990	GO:1902749	regulation of cell cycle G2/M phase transition	1.020e-09	0.000e+00	4.167e+00	6.804e-05
GO:1901990	GO:0010972	negative regulation of G2/M transition of mitotic cell cycle	1.020e-09	0.000e+00	4.480e+00	3.308e-05
GO:1901990	GO:1902750	negative regulation of cell cycle G2/M phase transition	4.010e-09	0.000e+00	4.445e+00	3.586e-05
GO:1901990	GO:1901991	negative regulation of mitotic cell cycle phase transition	2.460e-07	0.000e+00	3.950e+00	1.121e-04
GO:1901990	GO:1901988	negative regulation of cell cycle phase transition	4.300e-07	0.000e+00	3.930e+00	1.176e-04
GO:1901990	GO:0010948	negative regulation of cell cycle process	1.620e-06	0.000e+00	3.765e+00	1.719e-04
GO:1901990	GO:0045930	negative regulation of mitotic cell cycle	3.070e-05	0.000e+00	3.812e+00	1.542e-04
GO:1901990	GO:0045786	negative regulation of cell cycle	4.460e-06	0.000e+00	3.429e+00	3.726e-04
GO:1901990	GO:0000075	cell cycle checkpoint	1.350e-02	0.000e+00	3.709e+00	1.956e-04
GO:1901990	GO:0031570	DNA integrity checkpoint	3.940e-02	0.000e+00	3.879e+00	1.321e-04
GO:1901990	GO:1901992	positive regulation of mitotic cell cycle phase transition	8.360e-03	0.000e+00	4.548e+00	2.835e-05
GO:1901990	GO:0045931	positive regulation of mitotic cell cycle	1.630e-02	0.000e+00	4.428e+00	3.736e-05
GO:1901990	GO:1901989	positive regulation of cell cycle phase transition	4.300e-02	0.000e+00	4.356e+00	4.402e-05
GO:1901990	GO:1901673	regulation of mitotic spindle assembly	3.920e-03	0.000e+00	5.336e+00	4.612e-06
GO:1901990	GO:0090169	regulation of spindle assembly	2.600e-02	0.000e+00	5.180e+00	6.614e-06
GO:1901990	GO:0046605	regulation of centrosome cycle	3.870e-02	0.000e+00	4.711e+00	1.947e-05
GO:1901990	GO:0031113	regulation of microtubule polymerization	3.030e-02	0.000e+00	4.854e+00	1.398e-05
GO:0006807	GO:0034641	cellular nitrogen compound metabolic process	2.780e-119	0.000e+00	6.079e-01	2.466e-01
GO:0006807	GO:0006807	nitrogen compound metabolic process	5.420e-132	0.000e+00	4.218e-01	3.786e-01
GO:0006807	GO:1901564	organonitrogen compound metabolic process	3.050e-68	0.000e+00	6.054e-01	2.481e-01
GO:0005975	GO:0005975	carbohydrate metabolic process	2.010e-13	0.000e+00	1.397e+00	4.005e-02
GO:0005975	GO:0016051	carbohydrate biosynthetic process	1.160e-03	0.000e+00	2.020e+00	9.554e-03
GO:0005975	GO:0005996	monosaccharide metabolic process	1.490e-08	0.000e+00	2.216e+00	6.080e-03
GO:0005975	GO:0019321	pentose metabolic process	3.970e-03	0.000e+00	2.940e+00	1.149e-03
GO:0005975	GO:0019852	L-ascorbic acid metabolic process	2.290e-02	0.000e+00	4.224e+00	5.968e-05
GO:0005975	GO:0019318	hexose metabolic process	6.810e-07	0.000e+00	2.329e+00	4.683e-03
GO:0005975	GO:0006000	fructose metabolic process	1.140e-02	0.000e+00	4.321e+00	4.771e-05
GO:0005975	GO:0006006	glucose metabolic process	7.640e-06	0.000e+00	2.529e+00	2.961e-03
GO:0005975	GO:0046364	monosaccharide biosynthetic process	5.970e-06	0.000e+00	2.629e+00	2.347e-03
GO:0005975	GO:0019319	hexose biosynthetic process	4.730e-05	0.000e+00	2.646e+00	2.260e-03
GO:0005975	GO:0006094	gluconeogenesis	1.340e-04	0.000e+00	2.646e+00	2.259e-03
GO:0005975	GO:0046365	monosaccharide catabolic process	6.110e-06	0.000e+00	3.010e+00	9.781e-04
GO:0005975	GO:0019320	hexose catabolic process	5.460e-04	0.000e+00	3.508e+00	3.106e-04
GO:0005975	GO:0006007	glucose catabolic process	1.890e-02	0.000e+00	3.981e+00	1.044e-04
GO:0005975	GO:0044262	cellular carbohydrate metabolic process	1.070e-05	0.000e+00	2.062e+00	8.666e-03
GO:0005975	GO:0046835	carbohydrate phosphorylation	3.200e-02	0.000e+00	2.894e+00	1.277e-03
GO:0005975	GO:0044275	cellular carbohydrate catabolic process	4.220e-03	0.000e+00	2.966e+00	1.080e-03
GO:0005975	GO:0019405	alditol catabolic process	2.220e-02	0.000e+00	3.736e+00	1.837e-04
GO:0005975	GO:0019563	glycerol catabolic process	4.490e-02	0.000e+00	3.763e+00	1.725e-04
GO:0009308	GO:0009308	amine metabolic process	4.790e-02	0.000e+00	2.277e+00	5.286e-03
GO:0140029	GO:0140029	exocytic process	4.440e-02	0.000e+00	3.857e+00	1.391e-04
GO:0010608	GO:0010608	posttranscriptional regulation of gene expression	1.130e-14	0.000e+00	2.580e+00	2.632e-03
GO:0010608	GO:0006417	regulation of translation	7.070e-07	0.000e+00	2.654e+00	2.217e-03
GO:0010608	GO:0006448	regulation of translational elongation	1.420e-02	0.000e+00	3.528e+00	2.967e-04
GO:0010608	GO:0045727	positive regulation of translation	7.720e-03	0.000e+00	3.551e+00	2.815e-04
GO:0010608	GO:0034250	positive regulation of cellular amide metabolic process	1.500e-02	0.000e+00	3.537e+00	2.901e-04
GO:0010608	GO:0006357	regulation of transcription by RNA polymerase II	7.730e-13	0.000e+00	2.570e+00	2.693e-03
GO:0010608	GO:0070816	phosphorylation of RNA polymerase II C-terminal domain	3.220e-02	0.000e+00	4.752e+00	1.770e-05
GO:0010608	GO:0006355	regulation of transcription, DNA-templated	4.310e-07	0.000e+00	1.433e+00	3.688e-02
GO:0010608	GO:1903506	regulation of nucleic acid-templated transcription	8.460e-07	0.000e+00	1.430e+00	3.711e-02
GO:0010608	GO:2001141	regulation of RNA biosynthetic process	6.590e-07	0.000e+00	1.403e+00	3.956e-02
GO:0010608	GO:0051252	regulation of RNA metabolic process	3.580e-03	0.000e+00	1.395e+00	4.031e-02
GO:0010608	GO:0050794	regulation of cellular process	5.380e-07	0.000e+00	1.037e+00	9.174e-02
GO:0010608	GO:0050789	regulation of biological process	8.530e-04	0.000e+00	9.959e-01	1.010e-01
GO:0010608	GO:0045944	positive regulation of transcription by RNA polymerase II	1.560e-09	0.000e+00	3.211e+00	6.147e-04
GO:0010608	GO:0061418	regulation of transcription from RNA polymerase II promoter in response to hypoxia	6.630e-07	0.000e+00	5.551e+00	2.811e-06
GO:0010608	GO:0043618	regulation of transcription from RNA polymerase II promoter in response to stress	8.920e-06	0.000e+00	4.590e+00	2.571e-05
GO:0010608	GO:0043620	regulation of DNA-templated transcription in response to stress	2.750e-05	0.000e+00	4.572e+00	2.678e-05
GO:0010608	GO:0034248	regulation of cellular amide metabolic process	6.130e-08	0.000e+00	2.651e+00	2.234e-03
GO:0010608	GO:0034249	negative regulation of cellular amide metabolic process	1.890e-02	0.000e+00	3.344e+00	4.526e-04
GO:0010608	GO:0000122	negative regulation of transcription by RNA polymerase II	1.000e-04	0.000e+00	3.575e+00	2.663e-04
GO:0010608	GO:0045892	negative regulation of transcription, DNA-templated	3.780e-03	0.000e+00	2.764e+00	1.721e-03
GO:0010608	GO:0016458	gene silencing	1.310e-02	0.000e+00	3.278e+00	5.277e-04
GO:0010608	GO:1903507	negative regulation of nucleic acid-templated transcription	1.680e-02	0.000e+00	2.736e+00	1.835e-03
GO:0010608	GO:1902679	negative regulation of RNA biosynthetic process	1.500e-02	0.000e+00	2.736e+00	1.835e-03
GO:0010467	GO:0010467	gene expression	9.430e-61	0.000e+00	4.158e+00	6.957e-05
GO:0034976	GO:0030968	endoplasmic reticulum unfolded protein response	6.270e-03	0.000e+00	4.484e+00	3.283e-05
GO:0034976	GO:0034976	response to endoplasmic reticulum stress	4.330e-04	0.000e+00	3.837e+00	1.455e-04
GO:0034976	GO:0036498	IRE1-mediated unfolded protein response	3.740e-02	0.000e+00	5.492e+00	3.223e-06
GO:0034976	GO:0030433	ubiquitin-dependent ERAD pathway	2.160e-02	0.000e+00	4.219e+00	6.043e-05
GO:0034976	GO:0036503	ERAD pathway	1.410e-02	0.000e+00	4.145e+00	7.160e-05
GO:0016050	GO:0016050	vesicle organization	7.660e-08	0.000e+00	3.855e+00	1.397e-04
GO:0016050	GO:0006900	vesicle budding from membrane	1.190e-05	0.000e+00	4.432e+00	3.696e-05
GO:0016050	GO:0090114	COPII-coated vesicle budding	2.210e-04	0.000e+00	4.616e+00	2.423e-05
GO:0016050	GO:0048194	Golgi vesicle budding	2.820e-04	0.000e+00	4.588e+00	2.582e-05
GO:0016050	GO:0036258	multivesicular body assembly	4.260e-04	0.000e+00	5.677e+00	2.106e-06
GO:0016050	GO:0036257	multivesicular body organization	5.780e-04	0.000e+00	5.601e+00	2.506e-06
GO:0016050	GO:0007032	endosome organization	6.370e-03	0.000e+00	4.778e+00	1.669e-05
GO:0016050	GO:0006901	vesicle coating	5.420e-04	0.000e+00	4.675e+00	2.115e-05
GO:0016050	GO:0048208	COPII vesicle coating	1.150e-03	0.000e+00	4.711e+00	1.945e-05
GO:0016050	GO:0042255	ribosome assembly	2.620e-05	0.000e+00	3.726e+00	1.881e-04
GO:0016050	GO:0070925	organelle assembly	1.260e-04	0.000e+00	2.888e+00	1.294e-03
GO:0016050	GO:0051225	spindle assembly	1.160e-03	0.000e+00	4.195e+00	6.385e-05
GO:0016050	GO:0007051	spindle organization	6.910e-03	0.000e+00	3.918e+00	1.209e-04
GO:0016050	GO:0000045	autophagosome assembly	3.130e-03	0.000e+00	4.201e+00	6.298e-05
GO:0016050	GO:1905037	autophagosome organization	4.280e-03	0.000e+00	4.192e+00	6.426e-05
GO:0016050	GO:0007033	vacuole organization	3.210e-03	0.000e+00	3.907e+00	1.239e-04
GO:1903320	GO:0031396	regulation of protein ubiquitination	3.740e-05	0.000e+00	3.868e+00	1.354e-04
GO:1903320	GO:1903320	regulation of protein modification by small protein conjugation or removal	1.110e-05	0.000e+00	3.824e+00	1.498e-04
GO:1903320	GO:1903322	positive regulation of protein modification by small protein conjugation or removal	3.020e-03	0.000e+00	4.179e+00	6.615e-05
GO:1903320	GO:0031398	positive regulation of protein ubiquitination	2.400e-02	0.000e+00	4.230e+00	5.889e-05
GO:1903320	GO:0031397	negative regulation of protein ubiquitination	1.680e-02	0.000e+00	4.693e+00	2.029e-05
GO:1903320	GO:1903321	negative regulation of protein modification by small protein conjugation or removal	4.340e-02	0.000e+00	4.611e+00	2.449e-05
GO:1903320	GO:0050731	positive regulation of peptidyl-tyrosine phosphorylation	1.270e-04	0.000e+00	4.307e+00	4.927e-05
GO:1903320	GO:0001934	positive regulation of protein phosphorylation	1.180e-04	0.000e+00	3.349e+00	4.473e-04
GO:1903320	GO:0001932	regulation of protein phosphorylation	9.960e-03	0.000e+00	2.918e+00	1.208e-03
GO:1903320	GO:0042327	positive regulation of phosphorylation	4.070e-04	0.000e+00	3.310e+00	4.902e-04
GO:1903320	GO:0045937	positive regulation of phosphate metabolic process	8.140e-04	0.000e+00	3.280e+00	5.253e-04
GO:1903320	GO:0010562	positive regulation of phosphorus metabolic process	8.150e-04	0.000e+00	3.280e+00	5.253e-04
GO:1903320	GO:0050730	regulation of peptidyl-tyrosine phosphorylation	2.910e-02	0.000e+00	4.159e+00	6.932e-05
GO:1903320	GO:0061098	positive regulation of protein tyrosine kinase activity	4.240e-02	0.000e+00	4.699e+00	2.001e-05
GO:0051603	GO:0051603	proteolysis involved in cellular protein catabolic process	1.650e-14	0.000e+00	2.736e+00	1.838e-03
GO:0051603	GO:0006511	ubiquitin-dependent protein catabolic process	6.830e-12	0.000e+00	2.961e+00	1.094e-03
GO:0051603	GO:0006508	proteolysis	1.110e-10	0.000e+00	1.555e+00	2.788e-02
GO:0051603	GO:0033619	membrane protein proteolysis	4.440e-02	0.000e+00	4.629e+00	2.351e-05
GO:0051603	GO:0044267	cellular protein metabolic process	1.060e-36	0.000e+00	1.160e+00	6.915e-02
GO:0071702	GO:0071702	organic substance transport	4.280e-60	0.000e+00	1.474e+00	3.358e-02
GO:0071702	GO:0006820	anion transport	2.210e-14	0.000e+00	1.409e+00	3.895e-02
GO:0071702	GO:0015695	organic cation transport	2.760e-04	0.000e+00	3.362e+00	4.349e-04
GO:0071702	GO:0015871	choline transport	4.500e-02	0.000e+00	4.356e+00	4.403e-05
GO:0071702	GO:0015697	quaternary ammonium group transport	5.640e-03	0.000e+00	4.003e+00	9.932e-05
GO:0071702	GO:0006812	cation transport	2.530e-03	0.000e+00	1.530e+00	2.950e-02
GO:0071702	GO:1901264	carbohydrate derivative transport	7.550e-11	0.000e+00	2.928e+00	1.180e-03
GO:0071702	GO:0090481	pyrimidine nucleotide-sugar transmembrane transport	3.190e-02	0.000e+00	4.323e+00	4.750e-05
GO:0071702	GO:0015780	nucleotide-sugar transmembrane transport	4.320e-02	0.000e+00	4.228e+00	5.912e-05
GO:0071702	GO:0008643	carbohydrate transport	1.610e-05	0.000e+00	2.220e+00	6.027e-03
GO:0071702	GO:0034219	carbohydrate transmembrane transport	1.930e-02	0.000e+00	2.811e+00	1.544e-03
GO:0071702	GO:0015749	monosaccharide transmembrane transport	2.750e-02	0.000e+00	3.352e+00	4.449e-04
GO:0071702	GO:0015711	organic anion transport	7.990e-15	0.000e+00	2.618e+00	2.408e-03
GO:0071702	GO:0046942	carboxylic acid transport	2.440e-07	0.000e+00	2.745e+00	1.798e-03
GO:0071702	GO:0015822	ornithine transport	4.500e-02	0.000e+00	4.719e+00	1.909e-05
GO:0071702	GO:0015807	L-amino acid transport	6.660e-04	0.000e+00	3.675e+00	2.114e-04
GO:0071702	GO:0006835	dicarboxylic acid transport	3.920e-02	0.000e+00	3.324e+00	4.739e-04
GO:0071702	GO:0070837	dehydroascorbic acid transport	1.430e-02	0.000e+00	5.824e+00	1.499e-06
GO:0071702	GO:0051180	vitamin transport	1.700e-02	0.000e+00	3.326e+00	4.725e-04
GO:0071702	GO:0098656	anion transmembrane transport	1.770e-08	0.000e+00	2.057e+00	8.777e-03
GO:0071702	GO:0072530	purine-containing compound transmembrane transport	7.330e-05	0.000e+00	4.095e+00	8.027e-05
GO:0071702	GO:0072531	pyrimidine-containing compound transmembrane transport	1.150e-02	0.000e+00	4.026e+00	9.422e-05
GO:0071702	GO:0045117	azole transmembrane transport	3.190e-02	0.000e+00	4.429e+00	3.722e-05
GO:0071702	GO:0034220	ion transmembrane transport	5.480e-07	0.000e+00	1.543e+00	2.864e-02
GO:0071702	GO:0035435	phosphate ion transmembrane transport	2.980e-02	0.000e+00	3.460e+00	3.469e-04
GO:0071702	GO:0006817	phosphate ion transport	4.400e-02	0.000e+00	2.778e+00	1.668e-03
GO:0071702	GO:1905039	carboxylic acid transmembrane transport	1.620e-07	0.000e+00	2.863e+00	1.371e-03
GO:0071702	GO:1902001	fatty acid transmembrane transport	3.450e-02	0.000e+00	3.788e+00	1.631e-04
GO:0071702	GO:1903825	organic acid transmembrane transport	2.650e-07	0.000e+00	2.830e+00	1.479e-03
GO:0071702	GO:0003333	amino acid transmembrane transport	4.640e-03	0.000e+00	2.965e+00	1.083e-03
GO:0071702	GO:1902475	L-alpha-amino acid transmembrane transport	1.210e-02	0.000e+00	3.627e+00	2.359e-04
GO:0071702	GO:0015849	organic acid transport	2.550e-07	0.000e+00	2.283e+00	5.212e-03
GO:0071702	GO:0071422	succinate transmembrane transport	1.430e-02	0.000e+00	5.462e+00	3.452e-06
GO:0071702	GO:0015744	succinate transport	1.430e-02	0.000e+00	5.321e+00	4.772e-06
GO:0071702	GO:0015802	basic amino acid transport	2.810e-03	0.000e+00	4.360e+00	4.368e-05
GO:0071702	GO:1990822	basic amino acid transmembrane transport	8.120e-03	0.000e+00	4.480e+00	3.308e-05
GO:0071702	GO:0006865	amino acid transport	2.590e-02	0.000e+00	2.360e+00	4.370e-03
GO:0071702	GO:1902600	proton transmembrane transport	5.260e-05	0.000e+00	1.902e+00	1.252e-02
